[2018-10-16 20:15:46,849][entrance.py:310][WARNING] - 开始访问指定用户名percylee1817的主页
[2018-10-16 20:15:54,821][webdriver.py:172][WARNING] - 扫描到的资源数量 : 25
[2018-10-16 20:15:55,207][webdriver.py:172][WARNING] - 扫描到的资源数量 : 50
[2018-10-16 20:15:55,806][webdriver.py:172][WARNING] - 扫描到的资源数量 : 75
[2018-10-16 20:15:56,143][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:56,362][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:56,532][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:56,793][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:56,967][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:57,234][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:57,505][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:57,710][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:57,895][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:58,119][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:58,238][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:58,453][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:58,707][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:58,973][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:59,189][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:59,484][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:59,793][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:15:59,932][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:00,111][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:00,416][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:00,586][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:00,837][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:01,046][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:01,325][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:01,458][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:01,653][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:01,782][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:02,035][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:02,336][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:02,577][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:02,727][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:02,978][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:03,240][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:03,423][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:03,549][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:03,740][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:03,999][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:04,163][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:04,354][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:04,575][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:04,787][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:04,913][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:05,166][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:05,331][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:05,475][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:05,647][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:05,801][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:05,927][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:06,102][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:06,340][webdriver.py:172][WARNING] - 扫描到的资源数量 : 77
[2018-10-16 20:16:06,970][entrance.py:320][WARNING] - 用户名percylee1817 下共有 77 个board.
[2018-10-16 20:16:06,977][entrance.py:325][WARNING] - 已将板子列表写入缓存
[2018-10-16 20:16:09,523][entrance.py:365][WARNING] - 爬虫执行完毕！
